s,t,target_dim,target_masked_dim,next_dim,signatures,subalgebra_dim,num_new_gens,last_live_sig,rows_consumed,matrix_bytes,wall_us
10,0,0,0,0,0,1,0,-1,0,0,28
8,0,0,0,0,0,1,0,-1,0,0,96
4,0,0,0,0,0,1,0,-1,0,0,103
12,0,0,0,0,0,1,0,-1,0,0,59
7,0,0,0,0,0,1,0,-1,0,0,75
2,0,0,0,0,0,1,0,-1,0,0,92
9,0,0,0,0,0,1,0,-1,0,0,28
6,0,0,0,0,0,1,0,-1,0,0,103
11,0,0,0,0,0,1,0,-1,0,0,56
3,0,0,0,0,0,1,0,-1,0,0,97
5,0,0,0,0,0,1,0,-1,0,0,205
14,0,0,0,0,0,1,0,-1,0,0,3
13,0,0,0,0,0,1,0,-1,0,0,6
15,0,0,0,0,0,1,0,-1,0,0,24
16,0,0,0,0,0,1,0,-1,0,0,18
17,0,0,0,0,0,1,0,-1,0,0,4
18,0,0,0,0,0,1,0,-1,0,0,3
11,1,0,0,0,0,1,0,-1,0,0,29
20,0,0,0,0,0,1,0,-1,0,0,44
3,1,0,0,0,0,1,0,-1,0,0,11
12,1,0,0,0,0,1,0,-1,0,0,11
4,1,0,0,0,0,1,0,-1,0,0,14
7,1,0,0,0,0,1,0,-1,0,0,18
9,1,0,0,0,0,1,0,-1,0,0,4
8,1,0,0,0,0,1,0,-1,0,0,4
13,1,0,0,0,0,1,0,-1,0,0,14
14,1,0,0,0,0,1,0,-1,0,0,9
16,1,0,0,0,0,1,0,-1,0,0,6
15,1,0,0,0,0,1,0,-1,0,0,9
17,1,0,0,0,0,1,0,-1,0,0,7
5,1,0,0,0,0,1,0,-1,0,0,7
18,1,0,0,0,0,1,0,-1,0,0,17
2,1,0,0,0,0,1,0,-1,0,0,11
8,2,0,0,0,0,1,0,-1,0,0,7
4,2,0,0,0,0,1,0,-1,0,0,3
9,2,0,0,0,0,1,0,-1,0,0,6
12,2,0,0,0,0,1,0,-1,0,0,21
14,2,0,0,0,0,1,0,-1,0,0,4
15,2,0,0,0,0,1,0,-1,0,0,8
13,2,0,0,0,0,1,0,-1,0,0,15
17,2,0,0,0,0,1,0,-1,0,0,4
16,2,0,0,0,0,1,0,-1,0,0,8
3,2,0,0,0,0,1,0,-1,0,0,16
9,3,0,0,0,0,1,0,-1,0,0,10
16,3,0,0,0,0,1,0,-1,0,0,6
15,3,0,0,0,0,1,0,-1,0,0,11
13,3,0,0,0,0,1,0,-1,0,0,24
6,1,0,0,0,0,1,0,-1,0,0,18
4,3,0,0,0,0,1,0,-1,0,0,9
17,3,0,0,0,0,1,0,-1,0,0,3
16,4,0,0,0,0,1,0,-1,0,0,3
18,2,0,0,0,0,1,0,-1,0,0,9
19,0,0,0,0,0,1,0,-1,0,0,5
17,4,0,0,0,0,1,0,-1,0,0,6
6,2,0,0,0,0,1,0,-1,0,0,9
10,1,0,0,0,0,1,0,-1,0,0,6
5,2,0,0,0,0,1,0,-1,0,0,13
14,3,0,0,0,0,1,0,-1,0,0,8
7,2,0,0,0,0,1,0,-1,0,0,13
17,5,0,0,0,0,1,0,-1,0,0,15
20,1,0,0,0,0,1,0,-1,0,0,5
2,2,1,1,1,0,1,1,-1,1,8,40
19,1,0,0,0,0,1,0,-1,0,0,10
10,2,0,0,0,0,1,0,-1,0,0,3
11,2,0,0,0,0,1,0,-1,0,0,9
5,3,0,0,0,0,1,0,-1,0,0,16
18,3,0,0,0,0,1,0,-1,0,0,16
6,3,0,0,0,0,1,0,-1,0,0,7
15,4,0,0,0,0,1,0,-1,0,0,6
14,4,0,0,0,0,1,0,-1,0,0,5
8,3,0,0,0,0,1,0,-1,0,0,18
7,3,0,0,0,0,1,0,-1,0,0,8
10,3,0,0,0,0,1,0,-1,0,0,5
19,2,0,0,0,0,1,0,-1,0,0,7
20,2,0,0,0,0,1,0,-1,0,0,8
5,4,0,0,0,0,1,0,-1,0,0,8
18,4,0,0,0,0,1,0,-1,0,0,5
3,3,1,1,1,0,1,1,-1,1,8,24
2,3,2,2,2,0,1,0,-1,0,16,98
12,3,0,0,0,0,1,0,-1,0,0,6
16,5,0,0,0,0,1,0,-1,0,0,6
6,4,0,0,0,0,1,0,-1,0,0,7
15,5,0,0,0,0,1,0,-1,0,0,7
8,4,0,0,0,0,1,0,-1,0,0,10
9,4,0,0,0,0,1,0,-1,0,0,13
10,4,0,0,0,0,1,0,-1,0,0,10
19,3,0,0,0,0,1,0,-1,0,0,11
18,5,0,0,0,0,1,0,-1,0,0,8
7,4,0,0,0,0,1,0,-1,0,0,17
17,6,0,0,0,0,1,0,-1,0,0,9
20,3,0,0,0,0,1,0,-1,0,0,10
13,4,0,0,0,0,1,0,-1,0,0,13
4,4,1,1,1,0,1,1,-1,1,8,26
19,4,0,0,0,0,1,0,-1,0,0,6
16,6,0,0,0,0,1,0,-1,0,0,11
10,5,0,0,0,0,1,0,-1,0,0,12
8,5,0,0,0,0,1,0,-1,0,0,10
7,5,0,0,0,0,1,0,-1,0,0,11
18,6,0,0,0,0,1,0,-1,0,0,13
9,5,0,0,0,0,1,0,-1,0,0,14
20,4,0,0,0,0,1,0,-1,0,0,10
14,5,0,0,0,0,1,0,-1,0,0,9
6,5,0,0,0,0,1,0,-1,0,0,22
5,5,1,1,1,0,1,1,-1,1,8,23
10,6,0,0,0,0,1,0,-1,0,0,7
19,5,0,0,0,0,1,0,-1,0,0,33
9,6,0,0,0,0,1,0,-1,0,0,13
20,5,0,0,0,0,1,0,-1,0,0,12
8,6,0,0,0,0,1,0,-1,0,0,13
7,6,0,0,0,0,1,0,-1,0,0,10
3,4,1,1,3,0,1,0,-1,0,8,15
17,7,0,0,0,0,1,0,-1,0,0,22
11,3,0,0,0,0,1,0,-1,0,0,9
15,6,0,0,0,0,1,0,-1,0,0,13
2,4,3,2,2,1,2,1,0,2,24,42
18,7,0,0,0,0,1,0,-1,0,0,12
19,6,0,0,0,0,1,0,-1,0,0,4
20,6,0,0,0,0,1,0,-1,0,0,5
6,6,1,1,1,0,1,1,-1,1,8,23
10,7,0,0,0,0,1,0,-1,0,0,12
4,5,1,1,2,0,1,0,-1,0,8,23
16,7,0,0,0,0,1,0,-1,0,0,20
11,4,0,0,0,0,1,0,-1,0,0,11
9,7,0,0,0,0,1,0,-1,0,0,11
18,8,0,0,0,0,1,0,-1,0,0,10
3,5,3,1,4,1,2,0,-1,0,24,25
12,4,0,0,0,0,1,0,-1,0,0,16
11,5,0,0,0,0,1,0,-1,0,0,8
19,7,0,0,0,0,1,0,-1,0,0,15
10,8,0,0,0,0,1,0,-1,0,0,13
4,6,2,1,3,1,2,0,-1,0,16,23
20,7,0,0,0,0,1,0,-1,0,0,10
17,8,0,0,0,0,1,0,-1,0,0,8
11,6,0,0,0,0,1,0,-1,0,0,5
7,7,1,1,1,0,1,1,-1,1,8,31
5,6,1,1,2,0,1,0,-1,0,8,36
8,7,0,0,0,0,1,0,-1,0,0,42
13,5,0,0,0,0,1,0,-1,0,0,9
20,8,0,0,0,0,1,0,-1,0,0,5
18,9,0,0,0,0,1,0,-1,0,0,5
19,8,0,0,0,0,1,0,-1,0,0,8
2,5,5,2,2,1,2,1,0,3,40,111
11,7,0,0,0,0,1,0,-1,0,0,5
12,5,0,0,0,0,1,0,-1,0,0,8
14,6,0,0,0,0,1,0,-1,0,0,13
19,9,0,0,0,0,1,0,-1,0,0,11
20,9,0,0,0,0,1,0,-1,0,0,12
6,7,1,1,2,0,1,0,-1,0,8,27
9,8,0,0,0,0,1,0,-1,0,0,13
12,6,0,0,0,0,1,0,-1,0,0,9
8,8,1,1,1,0,1,1,-1,1,8,26
11,8,0,0,0,0,1,0,-1,0,0,6
19,10,0,0,0,0,1,0,-1,0,0,6
20,10,0,0,0,0,1,0,-1,0,0,6
15,7,0,0,0,0,1,0,-1,0,0,17
5,7,2,1,2,1,2,0,-1,0,16,49
10,9,0,0,0,0,1,0,-1,0,0,8
13,6,0,0,0,0,1,0,-1,0,0,33
20,11,0,0,0,0,1,0,-1,0,0,6
12,7,0,0,0,0,1,0,-1,0,0,8
7,8,1,1,2,0,1,0,-1,0,8,19
11,9,0,0,0,0,1,0,-1,0,0,11
9,9,1,1,1,0,1,1,-1,1,8,25
16,8,0,0,0,0,1,0,-1,0,0,7
13,7,0,0,0,0,1,0,-1,0,0,7
14,7,0,0,0,0,1,0,-1,0,0,6
8,9,1,1,2,0,1,0,-1,0,8,20
12,8,0,0,0,0,1,0,-1,0,0,13
17,9,0,0,0,0,1,0,-1,0,0,10
11,10,0,0,0,0,1,0,-1,0,0,13
6,8,2,1,2,1,2,0,-1,0,16,25
15,8,0,0,0,0,1,0,-1,0,0,11
13,8,0,0,0,0,1,0,-1,0,0,10
14,8,0,0,0,0,1,0,-1,0,0,14
10,10,1,1,1,0,1,1,-1,1,8,24
12,9,0,0,0,0,1,0,-1,0,0,5
3,6,4,2,5,1,2,1,0,3,32,37
16,9,0,0,0,0,1,0,-1,0,0,9
13,9,0,0,0,0,1,0,-1,0,0,8
18,10,0,0,0,0,1,0,-1,0,0,16
14,9,0,0,0,0,1,0,-1,0,0,9
9,10,1,1,2,0,1,0,-1,0,8,23
12,10,0,0,0,0,1,0,-1,0,0,6
17,10,0,0,0,0,1,0,-1,0,0,10
15,9,0,0,0,0,1,0,-1,0,0,10
11,11,1,1,1,0,1,1,-1,1,8,17
2,6,5,3,3,1,2,0,-1,0,40,145
7,9,2,1,2,1,2,0,-1,0,16,45
